block_time,exit_tribute,receiveAmount,amountSold,tx_hash,action,price_per_token
2023-04-20T07:03:40+00:00,3.092157125467043,22.675818920091647,37.834,\xffde1f33ea294d1375d909b41ac64daea754222916954b753fe30936f3a4c5ab,Sell,0.5993502912748228
2023-04-20T04:33:40+00:00,41.62573593425288,305.25539685118775,509,\xfe559ed48874005f7a5e46b4a5bbe530515e57c8d4e42f1d0880331eb4d5b9be,Sell,0.5997159073697206
2023-04-19T22:53:55+00:00,1.0712798401748398,7.856052161282157,13.092,\x28795bd374849451a4848c179fed5ed84c46f653b7c17bb85a9d4ee0d883e9ca,Sell,0.6000650902293123
2023-04-19T19:52:00+00:00,75.93322640464396,556.8436603007224,927,\x6d417a075f27e34387bbade08d30d168c98bc3ca7b7804d2c22e5166b3d2aeaa,Sell,0.6006943476814697
2023-04-19T14:58:55+00:00,40.631936601769844,297.96753507964553,495.253,\xfd6df726fd85aca030fde80cf2272b5e8e08f23fcad8c7e49af143423182c050,Sell,0.6016471078007514
2023-04-19T13:39:40+00:00,5.016825232726778,36.79005170666304,61.111,\x0c5efc0e487a697c5073b82b620d45070e9fd7ebfebb2e3427bc3da971ea8d3a,Sell,0.6020201225092544
2023-04-19T12:20:30+00:00,1.3321663780849662,9.76922010595642,16.226,\xa8e53a8dc353ee2419e5219c6af49ffcd8b2d2ea8a615468d427a86b13460000,Sell,0.6020719897668199
2023-04-18T23:06:15+00:00,1.3616903080611962,9.985728925782105,16.585,\xe19ebfe607c5a8ff0082a72bfccb33799b3568a428668293ce499f83074a94ae,Sell,0.6020939961279532
2023-04-18T09:33:25+00:00,3.8626793898724845,28.32631552573155,47.043,\x65ffa59ad8ca3b50cc616172ec3bbfb8c5dc6e6ef6ab614c755467a840babdae,Sell,0.6021366733782189
2023-04-17T22:53:20+00:00,2.6178003584323686,19.197202628504037,31.879,\x0062b968a7e5cf2bd7a6b41e8686fc5f5b08aa975408734e4f2adc1e5ab971d0,Sell,0.6021896116096501
2023-04-17T13:13:45+00:00,14.077059265397821,103.2317679462507,173.607,\x34fc2a7074737f0cdbc0845a30604eaa42ca3a6ac431e93079fd824da9e8da1d,Sell,0.594629064186644
